restaurant_id,street,address_number,zip_code,city,province,country
1,Piazza del Popolo,62,77001,Monza,MB,Italy
2,Via Garibaldi,107,2374,Ancona,AN,Italy
3,Via della Moscova,49,69696,Ancona,AN,Italy
4,Corso Italia,6,10001,Ferrara,FE,Italy
5,Via Tiburtina,167,2374,Messina,ME,Italy
6,Viale Trastevere,158,10001,Ravenna,RA,Italy
7,Corso Buenos Aires,65,85001,Cagliari,CA,Italy
8,Viale Parioli,75,20158,Naples,NA,Italy
9,Via Tiburtina,181,20158,Prato,PO,Italy
10,Viale Parioli,93,85001,Livorno,LI,Italy
11,Via della Repubblica,133,20158,Arezzo,AR,Italy
12,Via del Tritone,71,46731,Terni,TR,Italy
13,Piazza Navona,88,90001,Prato,PO,Italy
14,Via Cavour,125,2374,Cesena,FC,Italy
15,Via Manzoni,117,77001,Cagliari,CA,Italy
16,Via dei Greci,146,2374,Trieste,TS,Italy
17,Piazza Navona,194,46731,Bari,BA,Italy
18,Corso Vittorio Emanuele,10,2374,Cesena,FC,Italy
19,Via del Tritone,175,77001,Modena,MO,Italy
20,Via Dante,185,2374,Florence,FI,Italy
21,Viale dei Mille,155,46731,Salerno,SA,Italy
22,Piazza San Marco,113,77001,Foggia,FG,Italy
23,Via della Fortezza,191,2374,Novara,NO,Italy
24,Viale dei Mille,82,46731,Siracusa,SR,Italy
25,Vicolo delle Palle,111,69696,Livorno,LI,Italy
26,Vicolo delle Palle,145,77001,Taranto,TA,Italy
27,Via Giulia,53,2374,Ferrara,FE,Italy
28,Piazza San Marco,59,69696,Andria,BT,Italy
29,Via del Tritone,120,10001,Ferrara,FE,Italy
30,Via della Repubblica,19,20158,Rome,RM,Italy
31,Via della Croce,31,60601,Piacenza,PC,Italy
32,Viale Ceccarini,83,46731,Arezzo,AR,Italy
33,Viale dei Traghetti,113,20158,Sassari,SS,Italy
34,Via della Mosca,153,20158,Naples,NA,Italy
35,Via Manzoni,103,77001,Andria,BT,Italy
36,Via dei Fori Imperiali,193,60601,Novara,NO,Italy
37,Vicolo Fiori,110,2374,Forlì,FC,Italy
38,Via Manzoni,183,90001,Bergamo,BG,Italy
39,Via del Tritone,132,20158,Venice,VE,Italy
40,Via dei Condotti,18,60601,Livorno,LI,Italy
41,Via Dante,163,2374,Genoa,GE,Italy
42,Via XX Settembre,178,46731,Siracusa,SR,Italy
43,Corso Italia,88,85001,Cagliari,CA,Italy
44,Via dei Serpenti,2,46731,Siracusa,SR,Italy
45,Piazza di Spagna,66,90001,Brescia,BS,Italy
46,Corso Vittorio Emanuele,133,2374,Arezzo,AR,Italy
47,Via dei Condotti,171,85001,Palermo,PA,Italy
48,Via Appia Antica,64,69696,Cagliari,CA,Italy
49,Viale dei Mille,51,77001,Udine,UD,Italy
50,Via Appia Antica,92,60601,Bergamo,BG,Italy
51,Viale Parioli,94,10001,Giugliano in Campania,NA,Italy
52,Via della Moscova,101,10001,Cesena,FC,Italy
53,Via Cavour,58,2374,Padua,PD,Italy
54,Viale delle Milizie,42,46731,Pescara,PE,Italy
55,Vicolo delle Palle,48,20158,Giugliano in Campania,NA,Italy
56,Vicolo delle Erbe,106,10001,Reggio Calabria,RC,Italy
57,Via della Moscova,84,10001,Rome,RM,Italy
58,Piazza del Popolo,16,46731,Foggia,FG,Italy
59,Viale dell'Arte,60,20158,Rome,RM,Italy
60,Via XX Settembre,126,2374,Ravenna,RA,Italy
61,Piazza Navona,157,60601,Livorno,LI,Italy
62,Viale Parioli,27,46731,Bologna,BO,Italy
63,Viale Trastevere,139,46731,Salerno,SA,Italy
64,Via Appia Antica,35,60601,Vicenza,VI,Italy
65,Piazza del Popolo,198,69696,Brescia,BS,Italy
66,Viale Ceccarini,10,20158,Ferrara,FE,Italy
67,Piazza San Marco,142,20158,Sassari,SS,Italy
68,Via Garibaldi,134,60601,Reggio Emilia,RE,Italy
69,Via dei Serpenti,58,20158,Palermo,PA,Italy
70,Via XX Settembre,111,69696,Venice,VE,Italy
71,Via della Mosca,162,10001,Trieste,TS,Italy
72,Via dei Greci,51,85001,Modena,MO,Italy
73,Corso Vittorio Emanuele,20,20158,Catania,CT,Italy
74,Piazza San Marco,81,10001,Arezzo,AR,Italy
75,Viale dell'Arte,140,10001,Terni,TR,Italy
76,Viale dell'Arte,196,85001,Sassari,SS,Italy
77,Viale Ceccarini,126,69696,Livorno,LI,Italy
78,Via della Mosca,86,46731,Pescara,PE,Italy
79,Viale dei Traghetti,30,10001,Latina,LT,Italy
80,Viale delle Milizie,19,10001,Cesena,FC,Italy
81,Viale dei Colli Portuensi,84,2374,Giugliano in Campania,NA,Italy
82,Vicolo delle Erbe,27,2374,Milan,MI,Italy
83,Viale dei Colli Portuensi,156,90001,Reggio Emilia,RE,Italy
84,Via della Moscova,49,10001,Foggia,FG,Italy
85,Corso Vittorio Emanuele,165,20158,Reggio Emilia,RE,Italy
86,Viale Milano,28,20158,Bolzano,BZ,Italy
87,Corso Magenta,2,85001,Cagliari,CA,Italy
88,Vicolo Stretto,68,90001,Reggio Calabria,RC,Italy
89,Via Panisperna,178,69696,Reggio Calabria,RC,Italy
90,Via XX Settembre,129,69696,Verona,VR,Italy
91,Via Giulia,174,46731,Foggia,FG,Italy
92,Via Appia Antica,84,90001,Foggia,FG,Italy
93,Vicolo delle Palle,149,77001,Turin,TO,Italy
94,Viale dell'Arte,57,2374,Arezzo,AR,Italy
95,Via Tiburtina,75,77001,Ancona,AN,Italy
96,Via Garibaldi,192,90001,Padua,PD,Italy
97,Piazza del Popolo,41,46731,Modena,MO,Italy
98,Vicolo Fiori,182,10001,Sassari,SS,Italy
99,Viale dei Traghetti,39,60601,Bari,BA,Italy
100,Via della Repubblica,194,60601,Salerno,SA,Italy
101,Via Dante,5,2374,Verona,VR,Italy
102,Viale dei Mille,19,77001,Bolzano,BZ,Italy
103,Via Panisperna,45,69696,Vicenza,VI,Italy
104,Corso Venezia,15,69696,Ancona,AN,Italy
105,Via della Moscova,45,90001,Turin,TO,Italy
106,Piazza di Spagna,82,77001,Bolzano,BZ,Italy
107,Via della Moscova,78,77001,Padua,PD,Italy
108,Via dei Serpenti,77,85001,Forlì,FC,Italy
109,Viale Milano,147,10001,Ancona,AN,Italy
110,Via Cavour,119,69696,Reggio Emilia,RE,Italy
111,Via dei Condotti,66,77001,Prato,PO,Italy
112,Via dei Serpenti,24,77001,Milan,MI,Italy
113,Viale Parioli,107,10001,Siracusa,SR,Italy
114,Viale dei Colli Portuensi,22,77001,Novara,NO,Italy
115,Via Cavour,72,77001,Reggio Emilia,RE,Italy
116,Corso Magenta,33,60601,Cesena,FC,Italy
117,Via del Tritone,189,90001,Rome,RM,Italy
118,Corso Venezia,77,60601,Trieste,TS,Italy
119,Via della Repubblica,100,85001,Vicenza,VI,Italy
120,Corso Umberto I,115,2374,Rome,RM,Italy
121,Via Appia Antica,107,69696,Novara,NO,Italy
122,Corso Magenta,34,77001,Siracusa,SR,Italy
123,Via della Croce,162,46731,Milan,MI,Italy
124,Via dei Greci,188,10001,Brescia,BS,Italy
125,Piazza del Popolo,9,69696,Foggia,FG,Italy
126,Vicolo delle Palle,58,90001,Latina,LT,Italy
127,Corso Venezia,171,46731,Genoa,GE,Italy
128,Via della Repubblica,150,85001,Taranto,TA,Italy
129,Viale dei Mille,29,77001,Catania,CT,Italy
130,Via Giulia,166,20158,Andria,BT,Italy
131,Vicolo delle Erbe,78,69696,Latina,LT,Italy
132,Via dei Serpenti,158,69696,Modena,MO,Italy
133,Via Panisperna,1,60601,Livorno,LI,Italy
134,Via Dante,14,77001,Trento,TN,Italy
135,Piazza Navona,43,10001,Ferrara,FE,Italy
136,Corso Vittorio Emanuele,165,46731,Foggia,FG,Italy
137,Viale Trastevere,72,2374,Novara,NO,Italy
138,Via Garibaldi,133,69696,Bergamo,BG,Italy
139,Via dei Serpenti,84,60601,Udine,UD,Italy
140,Corso Vittorio Emanuele,134,10001,Naples,NA,Italy
141,Corso Umberto I,116,69696,Prato,PO,Italy
142,Via Flaminia,190,69696,Bari,BA,Italy
143,Vicolo delle Palle,108,90001,Reggio Emilia,RE,Italy
144,Corso Magenta,98,46731,Naples,NA,Italy
145,Via della Croce,168,10001,Pescara,PE,Italy
146,Corso Italia,179,69696,Terni,TR,Italy
147,Corso Umberto I,173,20158,Modena,MO,Italy
148,Corso Venezia,115,10001,Bologna,BO,Italy
149,Via dei Condotti,198,2374,Reggio Emilia,RE,Italy
150,Via Montenapoleone,167,90001,Modena,MO,Italy
151,Via del Tritone,160,77001,Terni,TR,Italy
152,Corso Magenta,85,69696,Modena,MO,Italy
153,Piazza San Marco,22,85001,Udine,UD,Italy
154,Via della Mosca,151,69696,Florence,FI,Italy
155,Via Panisperna,94,60601,Bolzano,BZ,Italy
