id,name,phone,email,cuisine_type,price_range,vat_code
1,Minty Cuisine,9719243440,Minty@gmx.com,vegetarian,$$$$,3232888905
2,City Street Cafe,5523445692,City@gmail.com,mexican,$$$,7505718581
3,Bella Tales,2900801781,Bella@gmx.com,mexican,$$$,3597328692
4,Eternal Nook,3085482227,Eternal@aol.com,mexican,$$$,8630408027
5,Salt Palace,8213573100,Salt@gmail.com,italian,$,4937552420
6,Savor Seasons,5448479010,Savor@gmx.com,mexican,$$$$,9588966931
7,Global Eats,8804258435,Global@outlook.com,japanese,$$$$,1648296960
8,Urban Fare,8989127702,Urban@protonmail.com,american,$$$$,4100591043
9,Mango Haven,6845632206,Mango@aol.com,italian,$,9966006899
10,Nectar Bistro,4276931477,Nectar@gmail.com,american,$$,7933119541
11,Table Street Cafe,9956313792,Table@icloud.com,american,$$$$,7896462801
12,Tender Bistro,7692389533,Tender@zoho.com,arabic,$$$$,7948535517
13,Table & Sugar,5539811042,Table@protonmail.com,thai,$$$,5081083986
14,Savory Twist,8580407060,Savory@hotmail.com,japanese,$$,6518567154
15,Taste Fare,1229325664,Taste@gmx.com,thai,$,6714799739
16,Nectar Pepper Grill,3632982815,Nectar@icloud.com,italian,$,4862320799
17,Salt Haven,7831302872,Salt@zoho.com,vegetarian,$,5640754120
18,Table Eats,2024697362,Table@hotmail.com,arabic,$$,2696586678
19,Nectar Cuisine,1488250561,Nectar@zoho.com,japanese,$$$,7538459087
20,Zen Oven,3353819575,Zen@yahoo.com,arabic,$$$$,1389820597
21,Copper Seasons,6280128440,Copper@icloud.com,italian,$$$,1442214915
22,Urban Bites,6453753553,Urban@hotmail.com,thai,$$,6733809902
23,Crisp Garden,2090117462,Crisp@aol.com,italian,$$,7090066606
24,Global Seasons,9240483309,Global@outlook.com,vegetarian,$,7899150232
25,Taste Bliss,7495854266,Taste@mail.com,thai,$$$$,7238969463
26,Lemon Kettle,5650865361,Lemon@aol.com,arabic,$,6579696829
27,Mosaic Bites,6896191510,Mosaic@zoho.com,vegetarian,$$$$,2999989171
28,Brick Seasons,3712849668,Brick@gmail.com,japanese,$$$,3109007641
29,Urban Harvest,3898073995,Urban@hotmail.com,japanese,$,9088343451
30,Tender Fare,6576498457,Tender@icloud.com,vegetarian,$$,6283433984
31,Whisk Pepper Grill,6268598713,Whisk@gmx.com,vegetarian,$$,9710117783
32,Sunny Crunch,4523618536,Sunny@yahoo.com,american,$$$$,9336622310
33,Basil Wok,8463264719,Basil@protonmail.com,arabic,$$,4160681843
34,Urban Greens,9966322744,Urban@mail.com,thai,$$,4577044294
35,Bella Grind,1093752810,Bella@protonmail.com,arabic,$,6915371609
36,Savor & Ladle,3518745879,Savor@aol.com,vegetarian,$,6872605052
37,Plated Grind,2017558756,Plated@hotmail.com,vegetarian,$$$$,4963048322
38,Silver Pepper Grill,4156933567,Silver@zoho.com,italian,$$$$,5000700358
39,Wholesome Delights,8656094149,Wholesome@yahoo.com,vegetarian,$,3549712820
40,Zen Greens,8149973986,Zen@gmx.com,american,$,4084015712
41,Sip Zest,5479049772,Sip@zoho.com,vegetarian,$,7782971001
42,Plated Cuisine,9454583750,Plated@zoho.com,vegetarian,$$$,2614011194
43,Mosaic Oven,9001226363,Mosaic@gmx.com,japanese,$$$,8441560498
44,Bella Moments,5918450233,Bella@yahoo.com,italian,$$$,2311957785
45,Bella Spoon,6398492843,Bella@aol.com,thai,$$$$,8005147365
46,Brick & Fresh,4134721682,Brick@icloud.com,american,$$,1267851421
47,Sunny Crunch,6541952760,Sunny@yahoo.com,italian,$$$,3699206277
48,Nectar Plate,8473406259,Nectar@yahoo.com,mexican,$$$$,9222627570
49,Harbor Spoon,6464513938,Harbor@gmail.com,vegetarian,$$,2389819807
50,Silver Tastes,1513728659,Silver@mail.com,thai,$$$,8827617129
51,Urban Plate,5035256805,Urban@mail.com,italian,$$,4509051299
52,Mango Spoon,2694541536,Mango@outlook.com,american,$,9677924449
53,Salt Spoon,1131070773,Salt@protonmail.com,italian,$$$,8827737445
54,Sip Harvest,7601123090,Sip@zoho.com,mexican,$$$$,9689481739
55,Lemon Bliss,9872770696,Lemon@gmx.com,american,$$$$,5570989118
56,Taste Kitchen,7931215156,Taste@outlook.com,vegetarian,$$,3992406235
