id,name,phone,email,cuisine_type,price_range,vat_code
1,Fusion Please,870746313,Fusion@zoho.com,american,$$$,88923540
2,Crisp Bliss,660532701,Crisp@protonmail.com,japanese,$$$$,46292448
3,Maple Eats,251432236,Maple@yahoo.com,vegetarian,$,38290644
4,Crispy Edge,313982647,Crispy@outlook.com,vegetarian,$$,73791314
5,Gourmet Chop House,636710740,Gourmet@hotmail.com,thai,$,12186340
6,Mango Kettle,979258114,Mango@aol.com,american,$$$$,89431336
7,Plated Cuisine,928280091,Plated@hotmail.com,japanese,$$$,26846462
8,Savory Kitchen,262552972,Savory@icloud.com,thai,$,92055766
9,Wholesome Chop House,898264772,Wholesome@hotmail.com,italian,$,63754614
10,Twisted Street Cafe,764637740,Twisted@icloud.com,japanese,$$$$,75263137
11,Mango Spoon,377378387,Mango@yahoo.com,thai,$$$,53105139
12,Blue Seasons,299577729,Blue@zoho.com,vegetarian,$,23666383
13,Spice Edge,488650855,Spice@protonmail.com,japanese,$$$$,95694348
14,Pasta Delights,706461082,Pasta@icloud.com,vegetarian,$,46793508
15,Fusion Pepper Grill,772110114,Fusion@outlook.com,japanese,$$,83184697
16,Mango Palace,745243852,Mango@yahoo.com,vegetarian,$,98554680
17,Eternal Fare,797106277,Eternal@icloud.com,italian,$$$,60763419
18,Zen Trail,150639694,Zen@gmail.com,american,$$,56323621
19,Crisp Eats,156919412,Crisp@protonmail.com,mexican,$$$$,16890502
20,Chop Greens,824788629,Chop@zoho.com,mexican,$,15486879
21,Savor Kettle,386338497,Savor@outlook.com,vegetarian,$$$,11257218
22,Sunny Garden,171382040,Sunny@hotmail.com,vegetarian,$$$,75598431
23,Savory Side Grill,454543324,Savory@aol.com,thai,$$,22906645
24,Eternal Zest,632809445,Eternal@outlook.com,vegetarian,$$,83242034
25,Brick & Sugar,342963708,Brick@gmail.com,american,$$$,14065285
26,Lemon View Bistro,357205188,Lemon@gmx.com,mexican,$$,26350987
27,Silver Trail,462302149,Silver@protonmail.com,mexican,$$$,38725167
28,Copper Grind,321686797,Copper@icloud.com,japanese,$$$$,55915092
29,Twisted Palace,716598138,Twisted@zoho.com,japanese,$$$$,95111629
30,Taste View Bistro,662835737,Taste@yahoo.com,arabic,$$$$,96128403
